,批发和零售业,信息传输、软件和信息技术服务业,文化、体育和娱乐业,卫生和社会工作,科学研究和技术服务业,其他,制造业,金融业
武汉,6.52384892086331,10.325530303030302,10.398266666666666,10.997014925373133,9.412207792207793,10.668253968253968,8.323157894736841,12.7
北京,7.629241071428572,20.258095238095237,10.124050632911391,13.107142857142858,9.924942528735633,9.681818181818182,18.191,21.6925
广州,8.301909722222222,9.898130081300812,12.0725,12.021935483870967,10.70220338983051,9.902424242424242,7.3765217391304345,21.812666666666665
上海,7.4252650176678445,21.084230769230768,16.376274509803924,12.595619047619047,13.64864864864865,12.965116279069768,11.8248,17.59090909090909
成都,6.734077253218884,10.40409836065574,8.96306358381503,10.782461538461538,8.976190476190476,7.585,9.340789473684211,11.681818181818182
地区,,,,,,,,
